                 73 --- 73: 40, 74: 03, 75: 03, 6F: 80, 70: 0C
                 6F --- 73: 40, 74: 03, 75: 03, 6F: 00, 70: 0C
                 70 --- 73: 40, 74: 03, 75: 03, 6F: 00, 70: 19
                 74 --- 73: 40, 74: 02, 75: 03, 6F: 00, 70: 19
                 73 --- 73: 80, 74: 02, 75: 03, 6F: 00, 70: 19
                 6F --- 73: 80, 74: 02, 75: 03, 6F: 00, 70: 19
                 70 --- 73: 80, 74: 02, 75: 03, 6F: 00, 70: 32
                 74 --- 73: 80, 74: 01, 75: 03, 6F: 00, 70: 32
                 73 --- 73: 00, 74: 01, 75: 03, 6F: 00, 70: 32
                 6F --- 73: 00, 74: 01, 75: 03, 6F: 01, 70: 32
                 70 --- 73: 00, 74: 01, 75: 03, 6F: 01, 70: 64
READ  9D9D <- 00    --- 73: 00, 74: 01, 75: 03, 6F: 01, 70: 64
                 73 --- 73: 00, 74: 01, 75: 03, 6F: 01, 70: 64
                 74 --- 73: 00, 74: 00, 75: 03, 6F: 01, 70: 64
                 70 --- 73: 00, 74: 00, 75: 03, 6F: 01, 70: 00
   WRITE 60CF -> 84 --- 73: 00, 74: 00, 75: 03, 6F: 01, 70: 00
                 75 --- 73: 00, 74: 00, 75: 02, 6F: 01, 70: 00
   WRITE 60D0 -> 00 --- 73: 00, 74: 00, 75: 02, 6F: 01, 70: 00
                 75 --- 73: 00, 74: 00, 75: 01, 6F: 01, 70: 00
   WRITE 60D1 -> 84 --- 73: 00, 74: 00, 75: 01, 6F: 01, 70: 00
                 75 --- 73: 00, 74: 00, 75: 00, 6F: 01, 70: 00
                 74 --- 73: 00, 74: 01, 75: 00, 6F: 01, 70: 00
                 73 --- 73: 00, 74: 01, 75: 00, 6F: 01, 70: 00
                 6F --- 73: 00, 74: 01, 75: 00, 6F: 02, 70: 00
                 74 --- 73: 00, 74: 00, 75: 00, 6F: 02, 70: 00
                 74 --- 73: 00, 74: 08, 75: 00, 6F: 02, 70: 00
                 73 --- 73: 00, 74: 08, 75: 00, 6F: 02, 70: 00
                 6F --- 73: 00, 74: 08, 75: 00, 6F: 04, 70: 00
                 74 --- 73: 00, 74: 07, 75: 00, 6F: 04, 70: 00
                 73 --- 73: 00, 74: 07, 75: 00, 6F: 04, 70: 00
                 6F --- 73: 00, 74: 07, 75: 00, 6F: 08, 70: 00
                 74 --- 73: 00, 74: 06, 75: 00, 6F: 08, 70: 00
                 73 --- 73: 00, 74: 06, 75: 00, 6F: 08, 70: 00
                 6F --- 73: 00, 74: 06, 75: 00, 6F: 10, 70: 00
                 74 --- 73: 00, 74: 05, 75: 00, 6F: 10, 70: 00
                 73 --- 73: 00, 74: 05, 75: 00, 6F: 10, 70: 00
                 6F --- 73: 00, 74: 05, 75: 00, 6F: 20, 70: 00
                 74 --- 73: 00, 74: 04, 75: 00, 6F: 20, 70: 00
                 73 --- 73: 00, 74: 04, 75: 00, 6F: 20, 70: 00
                 6F --- 73: 00, 74: 04, 75: 00, 6F: 40, 70: 00
                 74 --- 73: 00, 74: 03, 75: 00, 6F: 40, 70: 00
                 73 --- 73: 00, 74: 03, 75: 00, 6F: 40, 70: 00
                 6F --- 73: 00, 74: 03, 75: 00, 6F: 80, 70: 00
                 74 --- 73: 00, 74: 02, 75: 00, 6F: 80, 70: 00
                 73 --- 73: 00, 74: 02, 75: 00, 6F: 80, 70: 00
                 6F --- 73: 00, 74: 02, 75: 00, 6F: 00, 70: 00
READ  9D9E <- A1    --- 73: 00, 74: 02, 75: 00, 6F: 00, 70: 00
                 73 --- 73: A1, 74: 02, 75: 00, 6F: 00, 70: 00
                 74 --- 73: A1, 74: 01, 75: 00, 6F: 00, 70: 00
                 73 --- 73: 42, 74: 01, 75: 00, 6F: 00, 70: 00
                 6F --- 73: 42, 74: 01, 75: 00, 6F: 01, 70: 00
                 74 --- 73: 42, 74: 00, 75: 00, 6F: 01, 70: 00
   WRITE 60D2 -> 01 --- 73: 42, 74: 00, 75: 00, 6F: 01, 70: 00
                 74 --- 73: 42, 74: 01, 75: 00, 6F: 01, 70: 00
                 73 --- 73: 84, 74: 01, 75: 00, 6F: 01, 70: 00
                 6F --- 73: 84, 74: 01, 75: 00, 6F: 02, 70: 00
                 74 --- 73: 84, 74: 00, 75: 00, 6F: 02, 70: 00
                 74 --- 73: 84, 74: 08, 75: 00, 6F: 02, 70: 00
                 73 --- 73: 08, 74: 08, 75: 00, 6F: 02, 70: 00
                 6F --- 73: 08, 74: 08, 75: 00, 6F: 05, 70: 00
                 74 --- 73: 08, 74: 07, 75: 00, 6F: 05, 70: 00
                 73 --- 73: 10, 74: 07, 75: 00, 6F: 05, 70: 00
                 6F --- 73: 10, 74: 07, 75: 00, 6F: 0A, 70: 00
                 74 --- 73: 10, 74: 06, 75: 00, 6F: 0A, 70: 00
                 73 --- 73: 20, 74: 06, 75: 00, 6F: 0A, 70: 00
                 6F --- 73: 20, 74: 06, 75: 00, 6F: 14, 70: 00
                 74 --- 73: 20, 74: 05, 75: 00, 6F: 14, 70: 00
                 73 --- 73: 40, 74: 05, 75: 00, 6F: 14, 70: 00
                 6F --- 73: 40, 74: 05, 75: 00, 6F: 28, 70: 00
                 74 --- 73: 40, 74: 04, 75: 00, 6F: 28, 70: 00
                 73 --- 73: 80, 74: 04, 75: 00, 6F: 28, 70: 00
                 6F --- 73: 80, 74: 04, 75: 00, 6F: 50, 70: 00
                 74 --- 73: 80, 74: 03, 75: 00, 6F: 50, 70: 00
                 73 --- 73: 00, 74: 03, 75: 00, 6F: 50, 70: 00
                 6F --- 73: 00, 74: 03, 75: 00, 6F: A1, 70: 00
READ  9D9F <- 74    --- 73: 00, 74: 03, 75: 00, 6F: A1, 70: 00
                 73 --- 73: 74, 74: 03, 75: 00, 6F: A1, 70: 00
                 74 --- 73: 74, 74: 02, 75: 00, 6F: A1, 70: 00
                 73 --- 73: E8, 74: 02, 75: 00, 6F: A1, 70: 00
                 6F --- 73: E8, 74: 02, 75: 00, 6F: 42, 70: 00
                 74 --- 73: E8, 74: 01, 75: 00, 6F: 42, 70: 00
                 73 --- 73: D0, 74: 01, 75: 00, 6F: 42, 70: 00
                 6F --- 73: D0, 74: 01, 75: 00, 6F: 85, 70: 00
                 74 --- 73: D0, 74: 00, 75: 00, 6F: 85, 70: 00
   WRITE 60D3 -> 85 --- 73: D0, 74: 00, 75: 00, 6F: 85, 70: 00
                 74 --- 73: D0, 74: 01, 75: 00, 6F: 85, 70: 00
                 73 --- 73: A0, 74: 01, 75: 00, 6F: 85, 70: 00
                 6F --- 73: A0, 74: 01, 75: 00, 6F: 0B, 70: 00
                 74 --- 73: A0, 74: 00, 75: 00, 6F: 0B, 70: 00
                 74 --- 73: A0, 74: 01, 75: 00, 6F: 0B, 70: 00
                 73 --- 73: 40, 74: 01, 75: 00, 6F: 0B, 70: 00
                 6F --- 73: 40, 74: 01, 75: 00, 6F: 17, 70: 00
                 74 --- 73: 40, 74: 00, 75: 00, 6F: 17, 70: 00
                 74 --- 73: 40, 74: 03, 75: 00, 6F: 17, 70: 00
                 73 --- 73: 80, 74: 03, 75: 00, 6F: 17, 70: 00
                 6F --- 73: 80, 74: 03, 75: 00, 6F: 2E, 70: 00
                 74 --- 73: 80, 74: 02, 75: 00, 6F: 2E, 70: 00
                 73 --- 73: 00, 74: 02, 75: 00, 6F: 2E, 70: 00
                 6F --- 73: 00, 74: 02, 75: 00, 6F: 5D, 70: 00
                 74 --- 73: 00, 74: 01, 75: 00, 6F: 5D, 70: 00
